NTACODE,NTA_NAME,PM_Avg,PM_tertiles,NO2_Avg,NO2_tertiles,cook_tertiles,Building_emissions,Industrial_tertiles,Traffic_tertiles
QN8491,Jamaica Bay (East),6.056629458,Low,7.718255077,Low,Low,Low,Low,Low
QN8492,Jacob Riis Park-Fort Tilden-Breezy Point Tip,6.016321431,Low,8.802683996,Low,Low,Medium,Low,Low
SI0101,St. George-New Brighton,6.268377986,Low,17.40880969,Low,Medium,Medium,Medium,Low
SI0102,Tompkinsville-Stapleton-Clifton-Fox Hills,6.250535623,Low,16.58272964,Low,Medium,Medium,High,Low
SI0103,Rosebank-Shore Acres-Park Hill,6.662547431,Low,20.68257983,Low,Medium,Low,High,Medium
SI0104,West New Brighton-Silver Lake-Grymes Hill,6.259299671,Low,16.76050417,Low,High,Low,High,Low
SI0105,Westerleigh-Castleton Corners,6.567631189,Low,17.12370416,Low,Medium,Low,Low,Medium
SI0106,Port Richmond,6.495116913,Medium,17.96038525,Low,High,Medium,High,Low
SI0107,Mariner's Harbor-Arlington-Graniteville,6.470704371,Low,16.18522972,Low,Medium,Low,High,Low
SI0191,Snug Harbor,6.281914649,Low,17.25145801,Low,Low,Low,Low,Low
SI0201,Grasmere-Arrochar-South Beach-Dongan Hills,6.274138793,Low,14.0527397,Low,High,Low,Medium,Low
SI0202,New Dorp-Midland Beach,6.191558889,Low,11.12227711,Low,High,Low,Medium,Low
SI0203,Todt Hill-Emerson Hill-Lighthouse Hill-Manor Heights,6.249026823,Low,10.59598107,Low,Medium,Low,High,Low
SI0204,New Springville-Willowbrook-Bulls Head-Travis,6.118457686,Low,9.634968119,Low,High,Low,High,Low
SI0291,Freshkills Park (North),6.113175801,Low,9.74763357,Low,Low,Low,Low,Low
SI0301,Oakwood-Richmondtown,6.093849601,Low,10.22429573,Low,Low,Low,Low,Low
SI0302,Great Kills-Eltingville,6.032926481,Low,9.829931717,Low,High,Low,Medium,Low
SI0303,Arden Heights-Rossville,6.079223654,Low,11.34789665,Low,Low,Low,Medium,Low
SI0304,Annadale-Huguenot-Prince's Bay-Woodrow,5.965337771,Low,9.687773764,Low,Medium,Low,Medium,Low
SI0305,Tottenville-Charleston,5.9532516,Low,10.64493404,Low,High,Low,High,Low
SI0391,Freshkills Park (South),6.155177858,Low,9.848840219,Low,Low,Low,Medium,Low
SI9561,Fort Wadsworth,6.310666922,Low,14.51896716,Low,Low,Low,Low,High
SI9591,Hoffman & Swinburne Islands,,Low,,Low,Low,Low,Low,Low
SI9592,Miller Field,6.184599155,Low,11.65663837,Low,Low,Low,Low,Low
SI9593,Great Kills Park,6.017072289,Low,8.117615417,Low,Low,Low,Low,Low
